"","y","v"
"369",-0.239110107523222,4.76
"370",0.0893608577021099,4.33
"371",1.2627457138179,8.67
"372",1.31423292675173,10.44
"373",1.24686321762475,11.63
"374",1.352979236146,9.82
"375",1.21422556061246,10.08
"376",1.45036860840729,9.79
"377",1.39626340159546,8.29
"378",1.1695451317614,6.63
"379",1.06465084371654,8.09
"380",1.24616508592395,7.04
"381",-0.527089434102287,2.5
"382",-0.574213323906134,3.57
"383",-0.485201532054424,3.3
"384",-0.591666616426076,4.52
"385",-0.542797397370236,3.49
"386",-0.40666171571468,5.21
"387",-0.466002910282487,4.77
"388",-0.272271363311116,5.1
"389",-0.366519142918809,4.31
"390",-0.408407044966673,3.56
"391",-0.802851455917391,3.28
"392",-0.773180858633488,2.85
"393",-0.663225115757847,2.87
"394",-0.68940505453776,3.38
"395",-0.684169066781777,3.16
"396",-0.0349065850398862,2.96
"397",0.943175927777736,2.74
"398",0.838979771433674,3.77
"399",1.35961148730358,5.03
"400",1.55683369277894,4.29
"401",1.78023583703422,3.01
"402",1.71740398396242,1.91
"403",3.13112067807783,1.22
"404",-1.84830367786199,0.65
"405",-0.884881930761125,1.29
"406",-0.378736447682769,2.02
"407",-0.621337213709982,2.95
"408",0.248883951334391,0.69
"409",-1.72962128872638,0.5
"410",-2.08392312688123,0.37
"411",-1.67900674041854,1.46
"412",-1.8168877513261,0.81
"413",-2.35095850243636,1.39
"414",1.70169602069447,0.76
"415",-1.59174027781883,0.19
"416",-1.21300383013606,1.48
"417",-0.921533845053006,0.99
"418",-1.539380400259,1.43
"419",1.37287598961874,0.56
"420",1.11945418222916,1.31
"421",2.50105681810787,0.53
"422",1.85877565337396,2.57
"423",0.623082542961976,1.42
"424",-0.113446401379631,1.96
"425",-0.966912405604859,1.34
"426",1.89717289691784,1.68
"427",-2.61450321948751,1.23
"428",-1.69471470368649,1.65
"429",2.96880505764235,1.04
"430",-1.65457213089062,0.94
"431",-1.51669111998307,0.01
"432",-1.67551608191456,1.92
"433",-2.22354946704078,1.68
"434",-1.18856922060814,1.19
"435",-2.0943951023932,0.53
"436",0.555712833834995,0.55
"437",-1.58999494856683,0.81
"438",0.342433599241287,0.63
"439",-1.59174027781883,0.85
"440",-2.81347075421486,0.37
"441",0.260752190247953,2.99
"442",-1.69471470368649,1.34
"443",-3.0176742766982,1.81
"444",3.077015471266,2.05
"445",3.06479816650204,2.18
"446",-3.1101767270539,4.14
"447",-3.04385421547811,3.85
"448",-2.72445896236315,2.99
"449",-2.87106661953067,2.53
"450",-2.11708438266912,0.47
"451",0.10140362954087,2.7
"452",-0.575958653158128,3.48
"453",0.819955682586936,0.49
"454",-1.32121424375971,1.07
"455",-1.65282680163863,0.89
"456",-1.45036860840729,1.05
"457",-1.55334303427495,1.04
"458",-1.77499984927823,1.72
"459",-1.52541776624304,1.81
"460",-2.22878545479676,2.07
"461",-1.67551608191456,2.1
"462",1.72613063022239,1.16
"463",-1.7558012275063,2.04
"464",-0.23387411976724,0.93
"465",2.63719249976343,0.31
"466",1.06150925106295,0.54
"467",1.71216799620644,0.41
"468",1.75231056900231,2.11
"469",1.35891335560278,1.46
"470",1.04248516221621,2.02
"471",2.4923301718479,2.47
"472",0.113446401379631,1.56
"473",-1.23394778115999,1.62
"474",-0.511381470834339,6.44
"475",-0.195476876223363,8.59
"476",-0.0541052068118244,6.72
"477",-0.698131700797731,5.02
"478",-0.0628318530717955,5.22
"479",-0.0296705972839035,5.66
"480",-0.092502450355699,3.2
"481",-0.204203522483336,3.05
"482",-1.12573736753634,2.07
"483",-0.755727566113546,3.53
"484",-0.961676417848876,2.22
"485",-0.448549617762541,3.89
"486",-0.0942477796076933,4.03
"487",-0.596902604182059,4.86
"488",-0.46774823953448,3.24
"489",-0.638790506229924,2.64
"490",-0.546288055874225,6.07
"491",-0.326376570122939,7.11
"492",-0.27401669256311,6.19
"493",0.434237917896189,4.92
"494",1.09292517759885,6.33
"495",1.36380027750837,8.87
"496",1.39364540771747,7.43
"497",0.933053018116168,5.41
"498",0.620464549083984,6.49
"499",0.799884396189001,3.48
"500",0.649786080517489,3.89
"501",-0.60911990894602,2.93
"502",-0.595157274930067,4.03
"503",-0.610865238198016,4.67
"504",-0.300196631343024,4.25
"505",-0.478220215046445,3.13
"506",-0.87091929674517,2
"507",-0.703367688553715,3.09
"508",0.767072206251508,5.33
"509",-0.230383461263251,3.92
"510",0.0696386371545739,5.18
"511",-0.10471975511966,4.06
"512",0.20629791758573,6.79
"513",-0.300196631343024,5.37
"514",0.405439985238283,7.42
"515",0.850324411571637,11.58
"516",1.02817346234986,8.94
"517",1.2311552543568,11.16
"518",1.06499990956694,10.02
"519",1.25873145653831,9.93
"520",1.01141830153071,9.65
"521",1.39486713819387,7.17
"522",1.05051367677539,4.36
"523",1.4782938764392,9.29
"524",1.11474179324878,5.39
"525",1.15244090509186,4.91
"526",-0.272271363311116,3.62
"527",-0.82728606544531,3.76
"528",-1.28979831722381,3.32
"529",-0.256563400043166,3.42
"530",1.43640597439133,8.61
"531",0.530754625531475,4.5
"532",0.450644012864936,5.39
"533",0.109606677025244,4.24
"534",-0.240855436775217,4.32
"535",-0.752236907609557,2.82
"536",-0.534070751110265,5.11
"537",-0.212930168743309,2.88
"538",-0.253072741539178,3.92
"539",0.315904594610974,3.27
"540",1.65631746014262,6.32
"541",1.19432880713972,3.33
"542",0.982794901798007,2.88
"543",0.762185284345924,4.15
"544",0.389906554895533,3.71
"545",-0.216420827247298,2.36
"546",-0.832522053201295,2.01
"547",-1.76103721526228,2.15
"548",-0.528834763354283,1.8
"549",-1.23569311041199,1.92
"550",-1.14842664781227,1.11
"551",-2.81870674197084,1.06
"552",1.46084058391925,0.05
"553",-0.884881930761125,1.83
"554",-1.55508836352695,1.12
"555",-3.00720230118623,0.26
"556",-2.59181393921158,1.55
"557",-2.21307749152881,0.71
"558",-1.42069801112338,0.64
"559",-1.55334303427495,0.97
"560",-3.13461133658182,0.72
"561",2.61450321948751,0.81
"562",-0.359537825910833,2.44
"563",1.77150919077424,1.16
"564",1.97571271325758,1.72
"565",2.12581102892909,3.32
"566",2.35444916094035,4.41
"567",2.75063890114306,2.7
"568",3.1381019950858,2.21
"569",1.29032191599941,0.87
"570",0.227067335684462,3.88
"571",-0.366519142918809,6.46
"572",-0.50440015382636,7.68
"573",-0.516617458590321,9.06
"574",-0.836012711705283,6.51
"575",2.77507351067098,0.62
"576",2.90771853382255,1.68
"577",-2.31430658814448,1.06
"578",2.59530459771557,3.15
"579",-3.03512756921814,1.68
"580",-1.54985237577097,0.32
"581",2.50978346436785,1.39
"582",-2.23053078404875,0.1
"583",-1.42069801112338,0.93
"584",-1.65282680163863,0.64
"585",2.37713844121628,0.58
"586",-2.4312436480281,1.74
"587",-2.67558974330731,3.46
"588",-2.62148453649548,2.92
"589",-3.06828882500603,4.68
"590",-3.07177948351002,4.22
"591",-3.03338223996615,4.76
"592",-2.8326693759868,4.37
"593",-3.08923277602996,4.08
"594",2.41379035550816,1.04
"595",1.42244334037538,0.37
"596",1.14074719910349,0.85
"597",2.69304303582725,0.98
"598",2.66686309704734,0.71
"599",-1.43640597439133,0.001
"600",2.91993583858651,0.84
"601",0.275063890114306,0.13
"602",0.587303293296092,0.001
"603",-2.85884931476671,0.1
"604",0.166504410640259,0.18
"605",0.260577657322753,0.21
"606",1.80292511731014,0.67
"607",2.91295452157854,0.09
"608",2.11184839491314,0.03
"609",-3.08923277602996,2.45
"610",-2.73318560862312,4.02
"611",-2.78205482767896,6.09
"612",-2.7995081201989,5.67
"613",-2.85710398551472,4.36
"614",-2.93738913110646,5.89
"615",-2.80299877870289,5.63
"616",-2.91819050933452,4.53
"617",-2.67035375555133,5.69
"618",-2.94786110661842,4.7
"619",-2.84314135149876,3.79
"620",2.90422787531856,0.94
"621",-2.91644518008252,1.72
"622",-3.04036355697412,2.2
"623",2.68257106031528,2.44
"624",2.91993583858651,3.85
"625",-3.03687289847013,4.25
"626",3.09970475154193,3.96
"627",-2.99498499642227,4.22
"628",-2.27590934460061,1.53
"629",-2.21133216227682,1.36
"630",-2.01934594455744,0.73
"631",-2.20086018676485,1.3
"632",-2.37539311196428,1.85
"633",-2.70002435283523,1.69
"634",-2.83441470523879,4.31
"635",2.94960643587042,4.41
"636",-2.84663201000275,5.28
"637",2.78554548618295,5.18
"638",2.36841179495631,4.04
"639",1.4782938764392,5.82
"640",1.3229595730117,4.76
"641",-2.85361332701073,3.94
"642",2.65813645078736,5.62
"643",2.75412955964705,4.87
"644",2.10661240715716,3.24
"645",-1.97571271325758,0.07
"646",0.131946891450771,2.47
"647",-0.621337213709982,3.44
"648",-0.427605666738611,3.4
"649",-0.493928178314395,3.24
"650",-0.64053583548192,3.26
"651",-0.671951762017816,4
"652",-0.62482787221397,3.68
"653",-0.394444410950719,3.4
"654",-0.87091929674517,2.39
"655",-0.219911485751286,1.91
"656",-0.548033385126219,4.93
"657",-0.542797397370236,4.57
"658",-0.0593411945678071,5.18
"659",0.674744288821008,5.02
"660",1.65282680163863,7.83
"661",1.44338729139931,7.89
"662",1.02660266602306,7.56
"663",0.989776218805984,5.68
"664",1.21544729108885,5.93
"665",1.22033421299444,5.65
"666",1.92509816494975,5.01
"667",2.17118958948095,3.13
"668",-0.293215314335047,1.27
"669",-0.408407044966673,3.65
"670",-0.125663706143591,2
"671",1.85703032412197,0.12
"672",-0.804596785169387,0.98
